Artikelbezeichnung;Hersteller;Artikelnummer;Kategoriepfad;Beschreibungsfeld;Bild-Link;Deeplink;Verfuegbarkeit;Bruttopreis;Stattpreis;EAN;Versandkosten;
"Milchsammelstück Interpuls ITP207";"keine Angabe";"FA146";"Tierhaltung>Milchwirtschaft>Melkzeuge und Zubehör>Milchsammelstücke>Milchsammelstücke Schafe/Ziege";"Vollautomatisches Milchsammelstück für Schafe und Ziegen 20ccm, 30Gramm, Milchanschluss 14x10mm Ein Absperrventil öffnet und schließt automatisch sowol beim Melken als auch beim Waschen (in Ruhestellung geschlossen)";https://www.faie.at/media/image/c4/0a/ef/art_pro_fo_ed_146_200x200.jpg;"https://www.faie.at/tierhaltung/milchwirtschaft/melkzeuge-und-zubehoer/milchsammelstuecke/milchsammelstuecke-schafeziege/5000146/milchsammelstueck-interpuls-itp207";lagernd (derzeit bis zu 10 Werktage Lieferzeit);23,50;33,50;""; 9,95;
"Hydraulikpumpe BG3";"Bypy";"FA276";"Landtechnik>Hydraulikprogramm>Hydraulikpumpen und Zubehör>Zahnradpumpen Standard>Zahnradpumpen BG3 Bondioli";"Unsere Hydraulikpumpen eignen sich für unterschiedlichste Anforderungen und speziell bei größerem Leistungsanspruch. Qualitativ hochwertige Hydraulikpumpen sichern erfolgreichen und vor allem konstanten Einsatz. Achten Sie bei Pumpenwechsel immer darauf, dass Sie unbedingt auch das Hydrauliköl erneuern. Kontrollieren Sie vor dem Einbau der Hydraulikpumpe die Drehrichtung anhand der alten Pumpe, da in den Typenreihen der Hersteller unterschiedliche Drehrichtungen möglich sind. Bei Verwendung von einem Übersetzungsgetriebe benötigen Sie Hydraulikpumpen mit folgenden Drehrichtungen: Zapfwellendrehrichtung RECHTS = Drehrichtung der Hydraulikpumpe RECHTS Zapfwellendrehrichtung LINKS = Drehrichtung der Hydraulikpumpe LINKS";https://www.faie.at/media/image/9c/71/28/art_pro_fo_mb_271_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/hydraulikpumpen-und-zubehoer/zahnradpumpen-standard/zahnradpumpen-bg3-bondioli/5000276/hydraulikpumpe-bg3";lagernd (derzeit bis zu 10 Werktage Lieferzeit);219,00;398,00;""; 0;
"3-Wege-Konstant-Stromregler";"keine Angabe";"FA2084";"Landtechnik>Hydraulikprogramm>Hydraulikventile>Mengenregelung, Stromregler>Stromregler";"Aus einer Rohrleitung mit großer Fördermenge kann eine Teilmenge entzogen werden, die belastbar ist. Z.B. zur Versorgung zweier getrennter Hydraulikkreise mittels einer großen Hydraulikpumpe. Anschluss R hat Vorzug. Anschlüsse: P=Pumpe, R=einstellbarer Vorzugsstrom, E=Restmenge, QE=max. Eingangsmenge, QP= max. geregelte Ausgangsmenge an Anschluss R. Max Druck 210 bar.";https://www.faie.at/media/image/e6/b8/8f/art_pro_fo_mh_2084_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/hydraulikventile/mengenregelung-stromregler/stromregler/5002084/3-wege-konstant-stromregler";lagernd (derzeit bis zu 10 Werktage Lieferzeit);169,00;185,00;""; 0;
"Anbaudreieck/Gerätedreieck im Set";"keine Angabe";"FA5314";"Landtechnik>Landmaschinenteile>Anbaugeräte und Zubehör>Kuppeldreiecke>Anbaudreieck/Schlepperdreieck";"Zum Ankuppeln von Front- und Heckgeräten, verstärkte Ausführung.";https://www.faie.at/media/image/bd/9a/9f/art_pro_fo_gg_54886gesamt_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/anbaugeraete-und-zubehoer/kuppeldreiecke/anbaudreieckschlepperdreieck/5005314/anbaudreieck/geraetedreieck-im-set";lagernd (derzeit bis zu 10 Werktage Lieferzeit);219,00;248,00;""; 15;
"Akku-Arbeitslampe 24 LED";"keine Angabe";"FA5958";"Haus, Hof und Garten>Haus & Hof-Bedarf>Haus und Hof>Beleuchtung, Funkhandys";"Praktische Arbeitsleuchte mit hoher Leuchtkraft 220 lm. Helligkeit 2-stufig einstellbar. Durch Milchglasoberfläche keine Blendung trotz starker Leuchtkraft. Bis zu 3 Std Leuchtdauer, Ladezeit ca. 2 Std. Praktischer Halteclip mit eingebauten Magnet für den universalen Einsatz.";https://www.faie.at/media/image/f6/af/da/art_pro_fo_de_5958_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/haus-hof-bedarf/haus-und-hof/beleuchtung-funkhandys/5005958/akku-arbeitslampe-24-led";lagernd (derzeit bis zu 10 Werktage Lieferzeit);29,95;49,95;"4893447620988"; 6,95;
"Kreiselheuerzinke Heurebell";"keine Angabe";"FA7817";"Landtechnik>Landmaschinenteile>Heugerätezinken & Ersatzteile>Kreiselheuer & Kreiselschwader>passend zu Niemeyer";"";https://www.faie.at/media/image/98/d0/35/art_pro_fo_hb_7817-s_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/heugeraetezinken-ersatzteile/kreiselheuer-kreiselschwader/passend-zu-niemeyer/5007817/kreiselheuerzinke-heurebell";lagernd (derzeit bis zu 10 Werktage Lieferzeit);6,90;7,90;""; 9,95;
"Kreiselheuerzinke Turboheuer";"keine Angabe";"FA7930";"Landtechnik>Landmaschinenteile>Heugerätezinken & Ersatzteile>Kreiselheuer & Kreiselschwader>passend zu Fella, New Holland";"";https://www.faie.at/media/image/53/31/ce/art_pro_fo_hb_7930-s_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/heugeraetezinken-ersatzteile/kreiselheuer-kreiselschwader/passend-zu-fella-new-holland/5007930/kreiselheuerzinke-turboheuer";lagernd (derzeit bis zu 10 Werktage Lieferzeit);4,19;5,19;""; 9,95;
"PVC-Scheibe zu Rändelschraube, 5 Stk.";"keine Angabe";"FA8491";"Tierhaltung>Tierhaltung>Tränkebecken>Ventile, Ersatzteile, Zubehör";"Zu Tränkebecken Quelle.";https://www.faie.at/media/image/79/70/9f/art_pro_fo_fb_8491_200x200.jpg;"https://www.faie.at/tierhaltung/tierhaltung/traenkebecken/ventile-ersatzteile-zubehoer/5008491/pvc-scheibe-zu-raendelschraube-5-stk.";lagernd (derzeit bis zu 10 Werktage Lieferzeit);1,99;9,95;""; 9,95;
"Greifer-Drahtseil";"keine Angabe";"FA8933";"Forst>Forstketten, Seile, Seilwinden>Seile>Greiferseile";"Verzinkt, 1770 N/mm2 Nennfestigkeit. Preis per Meter und inkl. Ablängservice.";;"https://www.faie.at/forst/forstketten-seile-seilwinden/seile/greiferseile/5008933/greifer-drahtseil";lagernd (derzeit bis zu 10 Werktage Lieferzeit);2,99;3,99;"4003984659987"; 9,95;
"PVC-Scheibe zu Rändelschraube, 5 Stk.";"keine Angabe";"FA8491";"Tierhaltung>Tierhaltung>Tränkebecken>Ventile, Ersatzteile, Zubehör";"Zu Tränkebecken Quelle.";https://www.faie.at/media/image/79/70/9f/art_pro_fo_fb_8491_200x200.jpg;"https://www.faie.at/tierhaltung/tierhaltung/traenkebecken/ventile-ersatzteile-zubehoer/5008491/pvc-scheibe-zu-raendelschraube-5-stk.";lagernd (derzeit bis zu 10 Werktage Lieferzeit);1,11;1,11;""; 1,11;
"Greifer-Drahtseil";"keine Angabe";"FA8933";"Forst>Forstketten, Seile, Seilwinden>Seile>Greiferseile";"Verzinkt, 1770 N/mm2 Nennfestigkeit. Preis per Meter und inkl. Ablängservice.";;"https://www.faie.at/forst/forstketten-seile-seilwinden/seile/greiferseile/5008933/greifer-drahtseil";lagernd (derzeit bis zu 10 Werktage Lieferzeit);2,99;3,99;"4003984659987"; 3,12;
